Dyad,Session,Slice,Filename,Slice num,HIIT Number,# Raters,Avg Rating,Inv. Bias-corrected Rating,Summary Rater,src,A38TZK07ON180S,A2H74STYH3PLT1,A1ND4NNS6YX1SD,A2K94MIAGMDM2W,ANPTDUX6LOGYY,A2Q1JUSJ9THUDZ,AHZ5YRRIRTLJG,A8SZBX8HFOBVZ,AYXDE087J2KO,A1HQL1FCG3DL81,A3VBAQB2WO36Q1,A2PR62W2I7YGNT,AB774I47XHB4K,A2RFZPWXR7D4I5,A2UTWQS99Y0NRH,A1SJRFJWFXSDH4,A1H6OBSA5SU3SR,A4CX7I79NKBQA,A2FLA5FQY89A7G,A2F48NO7AD9VKK,A2SF0TUK6XTPCO,A110JYKWR9T6H8,A2TE62AXP2E9CX,A19UBZFVUWL1ES,A165QRANNVPG0P,A1GMJZUQ8Q7053,A1XXSN002MG3IS,A17J1CE7N49Z9D,A1JDDBMSI4TBXN,A1ZWJF3V4NXN6H,A2UO3QJZNC2VOE,ADORQ9L093MIA,A2E3TO92MCQ9XU,A2TXC8Q2IFGRXH,AUAN582MLI96N,A1M682B2WUSYJP,A2ORPKVJKI0EIO,A2UYNLN1B4JV8Y,A1RHTHCLMX3FEE,A2I9PUZT19ZBO8,A2E3SM3T01ENIR,AKLV0WIZZ356X,A1OUD2FVFBTL6G,A175ZTL2OZO9YU,A18W76CU3TX4DS,A24MWHGM6K7E7E,A1F1OZ54G177D8,A3QNCW3LR2AVOV,A12WRJ2ZMDW3SU,A2A4EX36X0JB4R,A3VRDQJNM1IC0E,A2YMHHRV5ZIRKM,A9NRPV1G84HSL,A1N4P4XGQM7NXE,A32QRY3NAE9PUD,A1TYDVHEFPZC86,A17I88FWG7XU6A,A1NF2FJGGPO14S,AZIAQJWXTSFUX,AVJUIF9QHQRY8,A33FA1VLSTBM74,A35W13N45CZB1O,A1F1DF9S6J4P4F,A344DR7QJ4E3UI,A34TVS5NMPO3O2,APR6H3HAOE9OU,A2RBF3IIJP15IH,AE3ZOTZGH91EN,A28EL15HGXUJ5X,AZTYIBLLB60V8,A3R7BHG51XF0CR,A38DXFI1TZA295,A1Y55YV1WA1TTD,A2IFB2UBVTSLRO,AN5W1383SSGO4,A21M2EFFRKX5S3,AKX5RHHO8BIUX,A38N2MBXP7IOPS,A11QDNT3W7DT7K,A3POH7948KWXCF,A173LLFXO0SKGG,A2VO2TXK0GS5ET,A3BOY7SUI425MK,A3L2VS3998R77L,A1U9S8YI7CKIR4,A7T06JMP6BTDS,A1KXYURHCYHKOL,A22WWSTT8TU7G1,AYJ4UEKIN5DGF,ADY44EV3GCW85,AOMTL7RWZTP3Z,ASQHIS7KJOLYM,A1R3W25JDAUQ09,A2P7JQZSXY2G8P,A3MBLDIFREDC5M,A2J1VDVDYZRK29,AIC8CB12DQC0K,A3S3MPBFR9A0LJ,A132HYJJXZSOM9,AV0LIAO8E356J,AQYRYAVV6IOCR,AYC97GMI4V7Y4,A1JMD1M91WRWGB,A3L4JI1S352HB8,A100VV1V2XDQI7,ASTR3EPUOKEXV,A2STBTRTBN661Z,A2QUXO9OJY69QM,A3GEHH49HNJM57,AVI7K876BV3QL,AMA4SXSYNC35I,A6ORRFI3XOACA,A3JP7DIFRS0ZBY,AK7FDS2KRJZLA,A1QP59PUWJJMJY,A1SZZ9S12FYSJ6,A375OH1S7FO7L8,A2Q9ZJ26LVHU5G,A3NMQ3019X6YE0,A15V8K8M4TXT9Y,A3D2JL8KOXT3ML,A2SRXFK73C1QE9,A2GTL8ODM5JYA2,A4T1X0PO5N1G9,A1IMXNDHFHG2IE,A2EW8H9R0T06M4,A1N35VV9QURKHX,A1M8GE34UYSUCB,A2F7LX6PG5ZDRT,A2U7BMG19Q83GE,AHPQVIEIBZOAS,AY7WPVKHVNBLG,A1A2XH9JVSN8Z0,AJMWTFJTL8RLM,A16184N1RO5OJV,AGON2ML5JT2OI,A2BBTY407P8TO1,AYUREWGFQG5JV
4,2,94,65_D4_S2_Both_Slice94.mp4,533,10_4,4,3,2,8,https://drive.google.com/file/d/0B3RCLUAraC3ua0dWYnFfQkl0LUk/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,1,89,82_D6_S1_Both_Slice89.mp4,351,37_6,4,0,0,101,https://drive.google.com/file/d/0B3RCLUAraC3ua0k2TlUybkJsR2M/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,1,33,75_D6_S1_Both_Slice33.mp4,360,10_8,4,1.5,0,13,https://drive.google.com/file/d/0B3RCLUAraC3ua0tMU3hSX0lQX3M/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,1,23,40_D6_S1_Both_Slice23.mp4,390,18_2,4,1.75,3,135,https://drive.google.com/file/d/0B3RCLUAraC3ua1lGRjVZU01raTg/preview,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
6,1,2,46_D6_S1_Both_Slice2.mp4,373,56_10,4,1,0,108,https://drive.google.com/file/d/0B3RCLUAraC3ua1YwVkEtLU1FUFk/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,99,108_D4_S2_Both_Slice99.mp4,428,61_4,4,1.75,1,34,https://drive.google.com/file/d/0B3RCLUAraC3ua250WW12SGVqeEU/preview,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,1,101,98_D3_S1_Both_Slice101.wmv,459,41_8,4,3.5,3,28,https://drive.google.com/file/d/0B3RCLUAraC3ua3dia1Nfc19QMnM/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,1,7,22_D6_S1_Both_Slice7.mp4,400,22_6,4,2,2,32,https://drive.google.com/file/d/0B3RCLUAraC3ua3VXRFdtRTRMWFU/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,2,104,0_D7_S2_Both_Slice104.wmv,59,13_2,4,3.5,5,37,https://drive.google.com/file/d/0B3RCLUAraC3uaDl4ZzROVGEwUjA/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,2,72,85_D6_S2_Both_Slice72.mp4,261,11_10,4,0,0,98,https://drive.google.com/file/d/0B3RCLUAraC3uaElETElkZUxDblk/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
