Dyad,Session,Slice,Filename,Slice num,HIIT Number,# Raters,Avg Rating,Standard Deviation,Inv. Bias-corrected Rating,Summary Rater,src,A1HB2SR74I6KK7,A25TSW9TVAIOQL,ACZ623JQFWWIH,AGC3235HCA3H2,AAEZQL4J6CQGM,A3GQ6KDIZWCMW6,AB774I47XHB4K,A2G8UI423QZYJJ,A1WJU1IQ3UTRC6,A1P0XSCJ9XAV74,A25YG9M911WA3T,A3VE47MTT6L4CM,A3EXLN4ZD2X327,A9I6LVY4CKEN0,A2H1QUGX0SOUMH,A2E0FOTFTVWZ7T,A1GUUOCIDL11VX,A3CNLP08ZRI37I,A28S6TTII9JDNI,A2T6RX3F2DP1KI,A1I6LWJWGKXOUU,A2F48NO7AD9VKK,ABPS2L90NO3N6,A2S5GPVIUV8RJI,A1F3IJU2HXZ0PQ,A2AWE6TNM98YSR,A17J1CE7N49Z9D,A1K8QNLYYYX21W,A37U181QDB0FQX,A2295H0UW8SPNU,A2UO3QJZNC2VOE,A2GS41OJ2X0HJ8,A15XX0WDRG29E7,A2TXC8Q2IFGRXH,ABMPX2Y2IRBMG,A2E3SM3T01ENIR,A2U7BMG19Q83GE,A3KTR2VGZ4FCUD,A35JTLEV0TZ7RB,A1F1OZ54G177D8,A1HY5U0FNYEMHV,A36KDWI1CGJFFA,AXXH66SC5NR6U,A2A4EX36X0JB4R,A1E5L8GPNG4649,A2PFTBGIF2Q6LJ,A3KGEHV0MAFSQ9,A1YXYL67VC9WFO,A31Z5TPD8QKE26,A2C39KTRMOM1XZ,A3EKTG4I16KI4T,A1BPEPR8BOKBJ,A47UVNSR0PBHV,A3M4C5VPP7M4T1,A1KRSKHQC8MPAM,AZHPZBK0JEJZI,A36GNR27NX3ZT4,A3EHP6B3OW0R0N,A3TXLHC83TPLT5,AUKUYL50PIUMC,A33FA1VLSTBM74,A395W57ZJI6BE3,A2Z750U1HCWVEE,ASS7VIIWIGEBC,A2OXXHGAM7B0Y,AE3ZOTZGH91EN,A28EL15HGXUJ5X,A9V8BZYX0AS91,A1B76WYZ47BQJ,A3KVNVHIYT3JI8,A1YKFB1EKM08EV,A2XX1VGBMDY5TD,A1EQIKZRSGNNP,A2A6FH0F7LD9ND,A21M2EFFRKX5S3,A1NOR6E0WT0Y14,ASLX3AJAL8XMU,A2XJAGYVNVPCP0,A211HK32QNTYX1,A1AWHGAQBO77DG,A1U9S8YI7CKIR4,ATOV0H5KQHI29,A7T06JMP6BTDS,A2BICWCPAW5N7O,A1X57NNB77RTSD,A22WWSTT8TU7G1,A2K607J3Z68WRR,A1X84CLJ7N1PLZ,A24BPSANAJ1GVF,A1R3W25JDAUQ09,ATDTDYACIYC97,A2J1VDVDYZRK29,ARHBT4K14I7U,A347XXV5JH19PB,A3HNEYFOIJWPH1,A36TE52PSYAAD6,ABX5OQLR6UNBC,A6ORRFI3XOACA,A12UVNCGOBJKZT,A25HIOE2S953Y4,A3DFJV1RD653DQ,A3NMKIL6GU57JE,ASTR3EPUOKEXV,A30J1AQYJ3YTQP,A1U3V3F02CX1RZ,A3KT7FHYY6PF2P,A2I0V4C6YI11TC,A2UUKFTD0VUX2S,A3KA08ZKNCAAXO,A110JBKYAC0WAW,A1QP59PUWJJMJY,A3KNO82DZ519HG,A219VCQZADQ45W,A24MWHGM6K7E7E,AHHLJEYWK9PCP,A1ONLQW8UEDS7T,A2VPCWI6X1QCDF,A2GK75ZQTX2RDZ,A80X2FTFDSR19,A1IZ4NX41GKU4X,A2A4LHPXF2E2GS,A16ZOBRKK1E6SJ,AYKHSILTGP4E,A132HYJJXZSOM9,AMEX6UDG3WZWK,A2EW8H9R0T06M4,A1N35VV9QURKHX,A30QRYULPVYZQV,A3VRDQJNM1IC0E,A77K8W55MJEKX,A31Y2UA2LPDSWZ,A25L985XCNESXE,A15V8K8M4TXT9Y,A3MRAH5D91FC6Y,A6X7HTTEO4B69
11,2,97,D11_S2_Both_97.mp4,654,39_4,4,3.75,1.258305739,5,65,https://drive.google.com/file/d/0B3RCLUAraC3uZXZfTWxJbTVoaFk/preview,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,2,110,D11_S2_Both_110.mp4,626,34_5,4,4.75,2.872281323,4,43,https://drive.google.com/file/d/0B3RCLUAraC3uZXFrdmZ1OFA5amc/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,1,82,D18_S1_Both_82.mp4,23,3_7,4,3.25,1.258305739,5,116,https://drive.google.com/file/d/0B3RCLUAraC3uZXB5ZGNqU1ZPTU0/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,1,57,D11_S1_Both_57.mp4,731,35_1,4,2.5,0.577350269,3,63,https://drive.google.com/file/d/0B3RCLUAraC3uZWJKT2ZHWWF6dVU/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,2,55,D16_S2_Both_55.mp4,310,64_2,4,4,1.414213562,3,63,https://drive.google.com/file/d/0B3RCLUAraC3uZW1KajFKYlBmTDQ/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,2,109,D11_S2_Both_109.mp4,597,12_2,4,4.75,1.5,6,98,https://drive.google.com/file/d/0B3RCLUAraC3uZW1GN1FINEt3dFk/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,2,73,D16_S2_Both_73.mp4,311,9_3,4,4,1.154700538,3,22,https://drive.google.com/file/d/0B3RCLUAraC3uZVVNWXdwZ3prbjQ/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,1,37,D11_S1_Both_37.mp4,702,60_1,4,3.75,0.957427108,3,27,https://drive.google.com/file/d/0B3RCLUAraC3uZVNRWWhTakZCYmM/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A
16,2,33,D16_S2_Both_33.mp4,253,61_1,4,1.5,0.577350269,2,11,https://drive.google.com/file/d/0B3RCLUAraC3uZVlpVndLV0VNejQ/preview,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A
11,2,96,D11_S2_Both_96.mp4,655,49_3,4,5,0.816496581,5,65,https://drive.google.com/file/d/0B3RCLUAraC3uZVgwZHZxOE5FSWc/preview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
