nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = gru lambda = 0.0 last = True share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
10/250  Train Acc = 0.230000
20/250  Train Acc = 0.240000
30/250  Train Acc = 0.290000
40/250  Train Acc = 0.250000
50/250  Train Acc = 0.410000
60/250  Train Acc = 0.280000
70/250  Train Acc = 0.360000
80/250  Train Acc = 0.320000
90/250  Train Acc = 0.360000
100/250  Train Acc = 0.230000
110/250  Train Acc = 0.430000
120/250  Train Acc = 0.390000
130/250  Train Acc = 0.320000
140/250  Train Acc = 0.380000
150/250  Train Acc = 0.360000
160/250  Train Acc = 0.420000
170/250  Train Acc = 0.310000
180/250  Train Acc = 0.360000
190/250  Train Acc = 0.510000
200/250  Train Acc = 0.370000
210/250  Train Acc = 0.440000
220/250  Train Acc = 0.270000
230/250  Train Acc = 0.270000
240/250  Train Acc = 0.390000
250/250  Train Acc = 0.390000
	Train cost = 1.747870,	Accuracy = 0.336200
10/250  Test Acc = 0.430000
20/250  Test Acc = 0.410000
30/250  Test Acc = 0.440000
40/250  Test Acc = 0.260000
50/250  Test Acc = 0.370000
60/250  Test Acc = 0.340000
70/250  Test Acc = 0.390000
80/250  Test Acc = 0.510000
90/250  Test Acc = 0.420000
100/250  Test Acc = 0.490000
110/250  Test Acc = 0.480000
120/250  Test Acc = 0.450000
130/250  Test Acc = 0.410000
140/250  Test Acc = 0.440000
150/250  Test Acc = 0.470000
160/250  Test Acc = 0.430000
170/250  Test Acc = 0.360000
180/250  Test Acc = 0.460000
190/250  Test Acc = 0.520000
200/250  Test Acc = 0.340000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.430000
230/250  Test Acc = 0.430000
240/250  Test Acc = 0.310000
250/250  Test Acc = 0.410000
	Test cost = 1.569388,	Accuracy = 0.394840
Epoch = 2
10/250  Train Acc = 0.440000
20/250  Train Acc = 0.420000
30/250  Train Acc = 0.490000
