nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 0: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = False share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
10/250  Train Acc = 0.250000
20/250  Train Acc = 0.300000
30/250  Train Acc = 0.320000
40/250  Train Acc = 0.390000
50/250  Train Acc = 0.250000
60/250  Train Acc = 0.240000
70/250  Train Acc = 0.340000
80/250  Train Acc = 0.270000
90/250  Train Acc = 0.310000
100/250  Train Acc = 0.280000
110/250  Train Acc = 0.370000
120/250  Train Acc = 0.260000
130/250  Train Acc = 0.320000
140/250  Train Acc = 0.270000
150/250  Train Acc = 0.320000
160/250  Train Acc = 0.310000
170/250  Train Acc = 0.480000
180/250  Train Acc = 0.410000
190/250  Train Acc = 0.210000
200/250  Train Acc = 0.440000
210/250  Train Acc = 0.360000
220/250  Train Acc = 0.360000
230/250  Train Acc = 0.430000
240/250  Train Acc = 0.420000
250/250  Train Acc = 0.390000
	Train cost = 1.680807,	Accuracy = 0.357160
10/250  Test Acc = 0.380000
20/250  Test Acc = 0.340000
30/250  Test Acc = 0.300000
40/250  Test Acc = 0.490000
50/250  Test Acc = 0.360000
60/250  Test Acc = 0.500000
70/250  Test Acc = 0.460000
80/250  Test Acc = 0.400000
90/250  Test Acc = 0.420000
100/250  Test Acc = 0.340000
110/250  Test Acc = 0.430000
120/250  Test Acc = 0.410000
130/250  Test Acc = 0.420000
140/250  Test Acc = 0.430000
150/250  Test Acc = 0.460000
160/250  Test Acc = 0.380000
170/250  Test Acc = 0.340000
180/250  Test Acc = 0.430000
190/250  Test Acc = 0.290000
200/250  Test Acc = 0.400000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.360000
230/250  Test Acc = 0.280000
240/250  Test Acc = 0.350000
250/250  Test Acc = 0.410000
	Test cost = 1.545345,	Accuracy = 0.403600
Epoch = 2
10/250  Train Acc = 0.460000
20/250  Train Acc = 0.420000
30/250  Train Acc = 0.410000
