nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

WARNING (theano.gof.compilelock): Overriding existing lock by dead process '62925' (I am process '63143')
Using gpu device 3: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = True share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
10/250  Train Acc = 0.290000
20/250  Train Acc = 0.340000
30/250  Train Acc = 0.330000
40/250  Train Acc = 0.200000
50/250  Train Acc = 0.370000
60/250  Train Acc = 0.220000
70/250  Train Acc = 0.300000
80/250  Train Acc = 0.290000
90/250  Train Acc = 0.210000
100/250  Train Acc = 0.430000
110/250  Train Acc = 0.430000
120/250  Train Acc = 0.330000
130/250  Train Acc = 0.270000
140/250  Train Acc = 0.390000
150/250  Train Acc = 0.370000
160/250  Train Acc = 0.210000
170/250  Train Acc = 0.400000
180/250  Train Acc = 0.230000
190/250  Train Acc = 0.210000
200/250  Train Acc = 0.170000
210/250  Train Acc = 0.380000
220/250  Train Acc = 0.120000
230/250  Train Acc = 0.230000
240/250  Train Acc = 0.400000
250/250  Train Acc = 0.310000
	Train cost = 1.877313,	Accuracy = 0.299960
10/250  Test Acc = 0.240000
20/250  Test Acc = 0.280000
30/250  Test Acc = 0.190000
40/250  Test Acc = 0.300000
50/250  Test Acc = 0.250000
60/250  Test Acc = 0.200000
70/250  Test Acc = 0.310000
80/250  Test Acc = 0.220000
90/250  Test Acc = 0.310000
100/250  Test Acc = 0.190000
110/250  Test Acc = 0.330000
120/250  Test Acc = 0.170000
130/250  Test Acc = 0.350000
140/250  Test Acc = 0.290000
150/250  Test Acc = 0.290000
160/250  Test Acc = 0.300000
170/250  Test Acc = 0.320000
180/250  Test Acc = 0.290000
190/250  Test Acc = 0.230000
200/250  Test Acc = 0.190000
210/250  Test Acc = 0.310000
220/250  Test Acc = 0.200000
230/250  Test Acc = 0.360000
240/250  Test Acc = 0.220000
250/250  Test Acc = 0.300000
	Test cost = 1.892535,	Accuracy = 0.282640
Epoch = 2
10/250  Train Acc = 0.410000
