nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 3: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = True #class = 2 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
10/250  Train Acc = 0.690000
20/250  Train Acc = 0.830000
30/250  Train Acc = 0.850000
40/250  Train Acc = 0.800000
50/250  Train Acc = 0.750000
60/250  Train Acc = 0.880000
70/250  Train Acc = 0.840000
80/250  Train Acc = 0.810000
90/250  Train Acc = 0.880000
100/250  Train Acc = 0.880000
110/250  Train Acc = 0.870000
120/250  Train Acc = 0.850000
130/250  Train Acc = 0.850000
140/250  Train Acc = 0.860000
150/250  Train Acc = 0.790000
160/250  Train Acc = 0.830000
170/250  Train Acc = 0.850000
180/250  Train Acc = 0.880000
190/250  Train Acc = 0.940000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.920000
220/250  Train Acc = 0.860000
230/250  Train Acc = 0.890000
240/250  Train Acc = 0.890000
250/250  Train Acc = 0.890000
	Train cost = 0.339935,	Accuracy = 0.854080
10/250  Test Acc = 0.860000
20/250  Test Acc = 0.840000
30/250  Test Acc = 0.860000
40/250  Test Acc = 0.900000
50/250  Test Acc = 0.880000
60/250  Test Acc = 0.920000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.870000
90/250  Test Acc = 0.870000
100/250  Test Acc = 0.910000
110/250  Test Acc = 0.870000
120/250  Test Acc = 0.930000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.950000
150/250  Test Acc = 0.930000
160/250  Test Acc = 0.890000
170/250  Test Acc = 0.880000
180/250  Test Acc = 0.910000
190/250  Test Acc = 0.910000
200/250  Test Acc = 0.900000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.880000
230/250  Test Acc = 0.940000
240/250  Test Acc = 0.850000
250/250  Test Acc = 0.840000
	Test cost = 0.271714,	Accuracy = 0.889840
Epoch = 2
10/250  Train Acc = 0.880000
20/250  Train Acc = 0.920000
30/250  Train Acc = 0.930000
