nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
10/250  Train Acc = 0.400000
20/250  Train Acc = 0.190000
30/250  Train Acc = 0.420000
40/250  Train Acc = 0.340000
50/250  Train Acc = 0.440000
60/250  Train Acc = 0.460000
70/250  Train Acc = 0.450000
80/250  Train Acc = 0.370000
90/250  Train Acc = 0.390000
100/250  Train Acc = 0.310000
110/250  Train Acc = 0.420000
120/250  Train Acc = 0.400000
130/250  Train Acc = 0.380000
140/250  Train Acc = 0.430000
150/250  Train Acc = 0.440000
160/250  Train Acc = 0.440000
170/250  Train Acc = 0.380000
180/250  Train Acc = 0.470000
190/250  Train Acc = 0.530000
200/250  Train Acc = 0.360000
210/250  Train Acc = 0.420000
220/250  Train Acc = 0.400000
230/250  Train Acc = 0.500000
240/250  Train Acc = 0.430000
250/250  Train Acc = 0.390000
	Train cost = 1.593938,	Accuracy = 0.384360
10/250  Test Acc = 0.360000
20/250  Test Acc = 0.450000
30/250  Test Acc = 0.490000
40/250  Test Acc = 0.420000
50/250  Test Acc = 0.420000
60/250  Test Acc = 0.530000
70/250  Test Acc = 0.300000
80/250  Test Acc = 0.470000
90/250  Test Acc = 0.400000
100/250  Test Acc = 0.400000
110/250  Test Acc = 0.360000
120/250  Test Acc = 0.340000
130/250  Test Acc = 0.360000
140/250  Test Acc = 0.430000
150/250  Test Acc = 0.460000
160/250  Test Acc = 0.450000
170/250  Test Acc = 0.350000
180/250  Test Acc = 0.530000
190/250  Test Acc = 0.570000
200/250  Test Acc = 0.510000
210/250  Test Acc = 0.360000
220/250  Test Acc = 0.410000
230/250  Test Acc = 0.540000
240/250  Test Acc = 0.440000
250/250  Test Acc = 0.470000
	Test cost = 1.475357,	Accuracy = 0.423480
Epoch = 2
10/250  Train Acc = 0.480000
20/250  Train Acc = 0.370000
30/250  Train Acc = 0.480000
